Given the tweet "Combien de soignants ont leur schéma vaccinal anti-covid complet ?"; return a list of possible hashtags,#foutagedegueule
Given the tweet "La HAS envisage de lever la vaccination obligatoire chez les soignants"; return a list of possible hashtags,#Covid_19
Given the tweet "Día 1.071Lucha contra la COVID-19: Venezuela registra13 nuevos contagios en las últimas 24 horas"; return a list of possible hashtags,#FestivalDeCarnavales20
Given the tweet "Los manifestantes anti covid en China que han desaparecido"; return a list of possible hashtags,#GENERAL #INTERNACIONAL
Given the tweet "Día 1.071Lucha contra la COVID-19: Venezuela registra13 nuevos contagios en las últimas 24 horas"; return a list of possible hashtags,#FestivalDeCarnavales20
Given the tweet "on pohjimmiltaan monia PET-skannereita ja CT-skannereita, jotka on yhdistetty yhteen. Tämä hirviö PET-skanneri voi tuottaa 3D-kuvia kehon syvistä kudoksista. Kuinka suuri teknologiahyppy EXPLORE on? Se on 40 kertaa herkempi..""; return a list of possible hashtags,#LongCovid #MECFS
Given the tweet "People didn't die from COVID. They were murdered by the greedy, industrial medical complex"; return a list of possible hashtags,#COVIDVACCINE #BigPharma #dieds
Given the tweet "How come? ..No such thing as covid and its not a vaccine !!"; return a list of possible hashtags,#COVIDVACCINE
Given the tweet "Día 1.071Lucha contra la COVID-19: Venezuela registra13 nuevos contagios en las últimas 24 horas"; return a list of possible hashtags,#FestivalDeCarnavales20
Given the tweet "Covid-19, oggi la giornata nazionale del personale sanitario: tre anni fa il paziente “uno”"; return a list of possible hashtags,#trinitapoli #news24city
Given the tweet "Fermo restando che siamo fuori area  e che il principio è logico, va comunque letta con attenzione @Giusepp99918361"; return a list of possible hashtags,#Covid
Given the tweet "How can you say your doing this 15 min cities because during covid the percentage of people stayed local when you basically locked the country down and forced everyone to stay local??"; return a list of possible hashtags,#15minutecities
Given the tweet ""I CANNOT CONTINUE".   are sharing this feeling after the shock of12 years of wareconomic crisisCovid-19"; return a list of possible hashtags,#Syrians
Given the tweet "Disambut Hangat di Pasar Santri Ramdhan di Jember, AHY: Terobosan Strategis Bangkitkan Ekonomi Pasca-Covid  #"; return a list of possible hashtags,#AHYPimpinPerubahan
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "¡Vacúnate contra la COVID-19 en !Conoce el centro de Ministerio de Salud Pública habilitado el lunes 20 y m"; return a list of possible hashtags,#Loja
Given the tweet "Reason  why I refused to be jabbed:Authorities: “Spike protein is bad for you. Here’s a shot that will cause your own body to make Spike Proteins. Take it so you don’t catch COVID!”Me"; return a list of possible hashtags,#2
Given the tweet ".   Día 1071 de pandemia en Venezuela: 13 nuevos casos por covid-19."; return a list of possible hashtags,#FestivalDeCarnavales2023
Given the tweet "unter Hersteller  begeht glasklaren Betrug und gefährdet Menschenleben. Nur wenige  wie @weltwoche"; return a list of possible hashtags,#BigPharma #Pfizer #Medien
Given the tweet "Hani diyorlardı ya  aşısı doğal bağışıklıktan daha iyi koruyor diye saçmalayanlar vardı! Artık Tam tersi olduğu anlaşıld"; return a list of possible hashtags,#mRNA
Given the tweet "My daughter &amp; I drove from Vegas to Philly during Covid! When we started our journey, I was Non-partisan leaning more Democrat. Driving through blue &amp; red states, I will never support or vote for Democrat politicians. What a bunch of cowards &amp; losers!"; return a list of possible hashtags,#antivaxxers #StopTheShots
Given the tweet "Spike protein, post Covid 19 injections, in the testes."; return a list of possible hashtags,#thecellsdontlie
Given the tweet "Una delle destinazioni esotiche per eccellenza dice finalmente addio alle misure sanitarie d'emergenza adottate contro il : ecco che cosa cambia"; return a list of possible hashtags,#COVID19
Given the tweet "немецкая группа по анализу вакцины против COVID (60 ученых, врачей, юристов) опубликовала итоги"; return a list of possible hashtags,#между_тем
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "1/2 Naomi Wolf Naomi Wolf : 3 500 experts concluent que les injections covid sont une arme"; return a list of possible hashtags,#Vaccins #COVID19
Given the tweet "主な調査結果1.　国別Covid-19 　→　国別人口あたりのCovid-19死亡者数が多い。[信頼水準1%まで統計的に有意]2.　一人当たりの国の 　→　国の人口当たりのCovid-19による死亡者"; return a list of possible hashtags,#ワクチン接種率が高いほど #医療費が高い
Given the tweet "The  was designed to generate mass fear to convince the public to get vaccinated.Peter Collignon, one of Au"; return a list of possible hashtags,#plandemic
Given the tweet ".   Día 1071 de pandemia en Venezuela: 13 nuevos casos por covid-19."; return a list of possible hashtags,#FestivalDeCarnavales2023
Given the tweet "Covid grillt das  - Nachweis von -CoV-2-Virusproteinen und Sequenzen in menschlichen Hirnstammkernen ua der dorsa"; return a list of possible hashtags,#Hirn #SARS
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "Día 1071 de pandemia en Venezuela: 13 nuevos casos por covid-19 y Siria"; return a list of possible hashtags,#FestivalDeCarnavales2023 #poupettekenza
Given the tweet "いつものヴォルタくん、みたいなのが3年ぶりcovid-19はやはり恐ろしい病気"; return a list of possible hashtags,#コートだじゅうる
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "Finito le Covid et les vaccins maintenant on a"; return a list of possible hashtags,#palmade
Given the tweet "Día 1.071Lucha contra la COVID-19: Venezuela registra13 nuevos contagios en las últimas 24 horas"; return a list of possible hashtags,#FestivalDeCarnavales20
Given the tweet "Did y’all talk about the CDC adding the Covid shot to the routine child vax schedule? We all knew they would but didn’t know if it was mentioned that it’s official now."; return a list of possible hashtags,#PutThatInYourPipe
Given the tweet "Watch the  vaccine propaganda in the sober light of 2023 and tell me the world didn't lose its mind... If you think th"; return a list of possible hashtags,#covid
Given the tweet "Watch the  vaccine propaganda in the sober light of 2023 and tell me the world didn't lose its mind... If you think th"; return a list of possible hashtags,#covid
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "Tre anni di pandemia @tgrrai"; return a list of possible hashtags,#covid #IoSeguoTgr
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "Autopsy will flag up any foul play IF there is any. Please can we all send strength, , thoughts &amp;  to  family/friends. Personal alarms are piercingly loud &amp; I encourage all women walking alone to carry them on their person no matter what the outcome"; return a list of possible hashtags,#Nicolabulley #SafetyFirst
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "Watch the  vaccine propaganda in the sober light of 2023 and tell me the world didn't lose its mind... If you think th"; return a list of possible hashtags,#covid
Given the tweet "Biden is STILL mandating daily COVID tests for nursing home health care workers. Daily. Ten million workers."; return a list of possible hashtags,#COVID19 #healthcarenews #tooMuch
Given the tweet "Día 1.071Lucha contra la COVID-19: Venezuela registra13 nuevos contagios en las últimas 24 horas"; return a list of possible hashtags,#FestivalDeCarnavales20
Given the tweet "Watch the  vaccine propaganda in the sober light of 2023 and tell me the world didn't lose its mind... If you think th"; return a list of possible hashtags,#covid
Given the tweet "Komisch, kaum hebt man die letzten Maßnahmen auf, durchseucht zum ersten Mal mehrfach die Bevölkerung mit einem Multiorganvirus und Impft so gut wie nicht mehr und  knallt die Übersterblichkeit so richtig rein, woran das nur liegt"; return a list of possible hashtags,#ploetzlichundunerwartet
Given the tweet "Yes,  should be banned from all media platforms! It should be not only be sued by Dominion Voting machines but by families that lost loved ones to Covid because they believed  lies about Covid vaccines!"; return a list of possible hashtags,#FoxFakeNews #FoxFakeNews
Given the tweet "My latest report for is a must-read I analysed the first EU safety update report for   va"; return a list of possible hashtags,#Pfizer #BioNTech
Given the tweet "Día 1.071Lucha contra la COVID-19: Venezuela registra13 nuevos contagios en las últimas 24 horas"; return a list of possible hashtags,#FestivalDeCarnavales20
Given the tweet "Watch the  vaccine propaganda in the sober light of 2023 and tell me the world didn't lose its mind... If you think th"; return a list of possible hashtags,#covid
Given the tweet "New Zealand Government's own stats show the highest percentage of  deaths were among the vaccinated and boosted. The"; return a list of possible hashtags,#COVID
Given the tweet "Día 1.071Lucha contra la COVID-19: Venezuela registra13 nuevos contagios en las últimas 24 horas"; return a list of possible hashtags,#FestivalDeCarnavales20
Given the tweet "In-depth assessment of muscle biopsies in patients with long COVID -  NewsThe Perfect Enemy"; return a list of possible hashtags,#Coronavirus
Given the tweet "Fuer Munitionsbeschaffung soll es ein aehnliches System wie bei  geben.  und  stehen f"; return a list of possible hashtags,#Ukraine #Covid_19 #EU
Given the tweet "Gobierno reporta 545 mil 618 pacientes recuperados por la COVID-19"; return a list of possible hashtags,#Venezuela
Given the tweet "Mangiacavalli presidente :"Siamo qui per onorare la memoria di chi non c'è più"; return a list of possible hashtags,#insiemeperlasaluteditutti #FNOPI
Given the tweet "In-depth assessment of muscle biopsies in patients with long COVID -  NewsThe Perfect Enemy"; return a list of possible hashtags,#Coronavirus
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
Given the tweet "Enorme. Ils envisagent de lever l'obligation vaccinale?"; return a list of possible hashtags,#France
